#Version: 0.99
#Glossary type: Spider
#Source: Spider Ontology
#Finalized by: Dongfang Xu
#Date: 05-30-15
#Reviewers: Dongfang Xu
#Source producer: 

"term","category","hasSyn","sourceDataset","termID"
"flanking spigots of triad","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000512"
"radix","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000523"
"lorum 2","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000501"
"tarsus 1","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000088"
"retrocoxal hymen","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000570"
"tenent barb of scopular seta","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000221"
"base of paracribellar gland spigot of posterior lateral spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000210"
"opisthosomal endosternite 5","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000602"
"hemolymph lacunar system","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000613"
"alveolus promargin","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000165"
"embolus","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000176"
"cheliceral gland","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000187"
"retrolateral cymbial groove","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000536"
"trochanter eclosion tooth","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000325"
"male genitalia","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000593"
"pedicel slit sensillum","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000580"
"booklung atrium","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000431"
