#Version: 0.2
#Glossary type: Spider
#Source: Spider Ontology, same as 0.1
#Finalized by: Dongfang Xu
#Date: 05-30-15
#Reviewers: Dongfang Xu, Hong Cui
#Source producer: 

"term","category","synonym","termID"
"lorum_2","structure","pedicel_dorsal_posterior_sclerite","http://purl.obolibrary.org/obo/SPD_0000501"
"retrocoxal_hymen","structure","retrocoxal_window","http://purl.obolibrary.org/obo/SPD_0000570"
"apical_cymbial_groove","structure","cymbial_conductor","http://purl.obolibrary.org/obo/SPD_0000535"
"posterior_lateral_spinneret","structure","PLS","http://purl.obolibrary.org/obo/SPD_0000038"
"posterior_lateral_spinneret","structure","pls","http://purl.obolibrary.org/obo/SPD_0000038"
"posterior_lateral_spinneret","structure","posterior_spinneret","http://purl.obolibrary.org/obo/SPD_0000038"
"anterior_lateral_eye","structure","ALE","http://purl.obolibrary.org/obo/SPD_0000049"
"anterior_lateral_eye","structure","ale","http://purl.obolibrary.org/obo/SPD_0000049"
"opisthosoma","structure","abdomen","http://purl.obolibrary.org/obo/SPD_0000003"
"cephalic_area","structure","head","http://purl.obolibrary.org/obo/SPD_0000016"
"cephalic_area","structure","pars_cephalica","http://purl.obolibrary.org/obo/SPD_0000016"
"cephalic_area","structure","cephalon","http://purl.obolibrary.org/obo/SPD_0000016"
"cephalic_area","structure","caput","http://purl.obolibrary.org/obo/SPD_0000016"
"posterior_median_eye","structure","PME","http://purl.obolibrary.org/obo/SPD_0000050"
"posterior_median_eye","structure","pme","http://purl.obolibrary.org/obo/SPD_0000050"
"pedicel_tergite","structure","lorum","http://purl.obolibrary.org/obo/SPD_0000026"
"female_palpal_coxa","structure","maxilla","http://purl.obolibrary.org/obo/SPD_0000073"
"female_palpal_coxa","structure","gnathocoxa","http://purl.obolibrary.org/obo/SPD_0000073"
"female_palpal_coxa","structure","gnathobase","http://purl.obolibrary.org/obo/SPD_0000073"
"stercoral_pocket","structure","gut_caecum","http://purl.obolibrary.org/obo/SPD_0000132"
"stercoral_pocket","structure","cloacal_chamber","http://purl.obolibrary.org/obo/SPD_0000132"
"epigynal_scape","structure","scapus","http://purl.obolibrary.org/obo/SPD_0000597"
"precoxal_triangle","structure","precoxal_sclerite","http://purl.obolibrary.org/obo/SPD_0000295"
"entapophysis_3","structure","3rd_entapophysis","http://purl.obolibrary.org/obo/SPD_0000066"
"entapophysis_3","structure","3rd_apodeme","http://purl.obolibrary.org/obo/SPD_0000066"
"sperm_duct","structure","spermophore","http://purl.obolibrary.org/obo/SPD_0000177"
"mating_plug","structure","copulatory_plug","http://purl.obolibrary.org/obo/SPD_0000547"
"cribellate_fiber","structure","cribellate_fibril","http://purl.obolibrary.org/obo/SPD_0000320"
"posterior_lateral_eye","structure","PLE","http://purl.obolibrary.org/obo/SPD_0000051"
"posterior_lateral_eye","structure","ple","http://purl.obolibrary.org/obo/SPD_0000051"
"posterior_diverticulum","structure","posterior_receptaculum","http://purl.obolibrary.org/obo/SPD_0000283"
"pseudotenent_seta","structure","proto-tenent_seta","http://purl.obolibrary.org/obo/SPD_0000494"
"epigastric_furrow","structure","epigastric_fold","http://purl.obolibrary.org/obo/SPD_0000034"
"labium","structure","lip","http://purl.obolibrary.org/obo/SPD_0000289"
"Bennett's_gland","structure","dictynoid_pore","http://purl.obolibrary.org/obo/SPD_0000139"
"leg_2","structure","leg_ii","http://purl.obolibrary.org/obo/SPD_0000022"
"leg_2","structure","leg_II","http://purl.obolibrary.org/obo/SPD_0000022"
"cribellate_silk_carding_behavior","structure","combing_behavior","http://purl.obolibrary.org/obo/SPD_0000449"
"cribellate_silk_carding_behavior","structure","carding_behavior","http://purl.obolibrary.org/obo/SPD_0000449"
"median_article_of_anterior_lateral_spinneret","structure","intermediate_article_of_anterior_lateral_spinneret","http://purl.obolibrary.org/obo/SPD_0000123"
"macroseta","structure","spine","http://purl.obolibrary.org/obo/SPD_0000315"
"prosoma","structure","cephalothorax","http://purl.obolibrary.org/obo/SPD_0000002"
"leg_4","structure","leg_IV","http://purl.obolibrary.org/obo/SPD_0000024"
"leg_4","structure","leg_iv","http://purl.obolibrary.org/obo/SPD_0000024"
"leg_4","structure","hind_leg","http://purl.obolibrary.org/obo/SPD_0000024"
"leg_3","structure","leg_III","http://purl.obolibrary.org/obo/SPD_0000023"
"leg_3","structure","leg_iii","http://purl.obolibrary.org/obo/SPD_0000023"
"anterior_median_spinneret","structure","AMS","http://purl.obolibrary.org/obo/SPD_0000081"
"anterior_median_spinneret","structure","ams","http://purl.obolibrary.org/obo/SPD_0000081"
"bothrium","structure","socket_of_trichobothria","http://purl.obolibrary.org/obo/SPD_0000348"
"accessory_bulb","structure","head_of_spermatheca","http://purl.obolibrary.org/obo/SPD_0000140"
"lorum_1","structure","pedicel_dorsal_anterior_sclerite","http://purl.obolibrary.org/obo/SPD_0000500"
"sigilla","structure","sigillum","http://purl.obolibrary.org/obo/SPD_0000330"
"inferior_claw","structure","median_claw","http://purl.obolibrary.org/obo/SPD_0000385"
"inferior_claw","structure","unpaired_claw","http://purl.obolibrary.org/obo/SPD_0000385"
"bursa","structure","bulge","http://purl.obolibrary.org/obo/SPD_0000280"
"maxillary_gland_pore_field","structure","sieve_plate","http://purl.obolibrary.org/obo/SPD_0000200"
"copulatory_bulb","structure","genital_bulb","http://purl.obolibrary.org/obo/SPD_0000168"
"copulatory_bulb","structure","bulbus","http://purl.obolibrary.org/obo/SPD_0000168"
"copulatory_bulb","structure","palpal_organ","http://purl.obolibrary.org/obo/SPD_0000168"
"sensory_organ","structure","sense_organ","http://purl.obolibrary.org/obo/SPD_0000650"
"2nd_opisthosomal_segment (epigastrium)","structure","epigastric_area","http://purl.obolibrary.org/obo/SPD_0000007"
"thoracic_fovea","structure","pit","http://purl.obolibrary.org/obo/SPD_0000018"
"thoracic_fovea","structure","thoracic_groove","http://purl.obolibrary.org/obo/SPD_0000018"
"thoracic_fovea","structure","thoracic_furrow","http://purl.obolibrary.org/obo/SPD_0000018"
"thoracic_fovea","structure","dorsal_groove","http://purl.obolibrary.org/obo/SPD_0000018"
"epigyne","structure","epigynum","http://purl.obolibrary.org/obo/SPD_0000028"
"tarsus","structure","distitarsus","http://purl.obolibrary.org/obo/SPD_0000379"
"bothrium_proximal_plate","structure","trichobothrial_hood","http://purl.obolibrary.org/obo/SPD_0000391"
"metatarsus","structure","basitarsus","http://purl.obolibrary.org/obo/SPD_0000378"
"male_palpal_tibia_retrolateral_process","structure","retrolateral_tibial_apophysis","http://purl.obolibrary.org/obo/SPD_0000156"
"copulatory_opening","structure","copulatory_pores","http://purl.obolibrary.org/obo/SPD_0000136"
"copulatory_opening","structure","epigynal_openings","http://purl.obolibrary.org/obo/SPD_0000136"
"anterior_copulatory_duct","structure","spermathecal_ducts","http://purl.obolibrary.org/obo/SPD_0000135"
"anterior_copulatory_duct","structure","entrance_ducts","http://purl.obolibrary.org/obo/SPD_0000135"
"anterior_copulatory_duct","structure","insemination_ducts","http://purl.obolibrary.org/obo/SPD_0000135"
"anterior_copulatory_duct","structure","connecting_ducts","http://purl.obolibrary.org/obo/SPD_0000135"
"leg_1","structure","leg_I","http://purl.obolibrary.org/obo/SPD_0000021"
"leg_1","structure","leg_i","http://purl.obolibrary.org/obo/SPD_0000021"
"leg_1","structure","fore_leg","http://purl.obolibrary.org/obo/SPD_0000021"
"female_palp","structure","palpus","http://purl.obolibrary.org/obo/SPD_0000020"
"female_palp","structure","pedipalp","http://purl.obolibrary.org/obo/SPD_0000020"
"intercheliceral_sclerite","structure","postchilum","http://purl.obolibrary.org/obo/SPD_0000071"
"intercheliceral_sclerite","structure","posterior_chilum","http://purl.obolibrary.org/obo/SPD_0000071"
"labral_tongue","structure","labral_flap","http://purl.obolibrary.org/obo/SPD_0000287"
"epigastric_area","structure","epigastrium","http://purl.obolibrary.org/obo/SPD_0000058"
"anterior_lateral_spinneret","structure","anterior_spinneret","http://purl.obolibrary.org/obo/SPD_0000036"
"anterior_lateral_spinneret","structure","ALS","http://purl.obolibrary.org/obo/SPD_0000036"
"pleural_bar","structure","epimeric_sclerite","http://purl.obolibrary.org/obo/SPD_0000302"
"cylindrical_gland","structure","tubuliform_gland","http://purl.obolibrary.org/obo/SPD_0000638"
"posterior_median_spinneret","structure","PMS","http://purl.obolibrary.org/obo/SPD_0000037"
"posterior_median_spinneret","structure","pms","http://purl.obolibrary.org/obo/SPD_0000037"
"posterior_median_spinneret","structure","median_spinneret","http://purl.obolibrary.org/obo/SPD_0000037"
"anterior_median_eye","structure","AME","http://purl.obolibrary.org/obo/SPD_0000048"
"anterior_median_eye","structure","ame","http://purl.obolibrary.org/obo/SPD_0000048"
"anterior_median_eye","structure","primary_eye","http://purl.obolibrary.org/obo/SPD_0000048"
"brain","structure","supraesophageal_ganglion","http://purl.obolibrary.org/obo/SPD_0000623"

