#Version: 0.1
#Glossary type: Spider
#Source: Spider Ontology
#Finalized by: Dongfang Xu
#Date: 05-30-15
#Reviewers: Dongfang Xu, Hong Cui
#Source producer: 

"term","category","hasSyn","sourceDataset","termID"
"anterior_median_respiratory_structure","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000442"
"pretarsus_2","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000453"
"patella","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000376"
"aggregate_gland","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000640"
"aciniform_gland_spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000365"
"scale_opisthosoma","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000307"
"cephalic_area","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000016"
"anterior_booklung","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000027"
"carapace","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000005"
"posterior_median_eye","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000050"
"Ac_silk_fiber","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000408"
"shaft_of_flagelliform_gland_spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000419"
"malpighian_tubules","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000627"
"development","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000388"
"hair_carapace","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000399"
"bothrium_distal_plate","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000386"
"spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000364"
"femur","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000375"
"calamistrum","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000237"
"pedicel_tergite","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000026"
"female_palpal_coxa","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000073"
"femur_1","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000084"
"aciniform_gland_spigot_of_posterior_median_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000260"
"male_palpal_femoral_thorn_socket","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000271"
"booklung_spiracle","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000429"
"flagelliform_gland","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000639"
"booklung_cover_internal_surface","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000247"
"spigot_of_posterior_median_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000258"
"inferior_claw_4","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000236"
"shaft_of_gland_spigot_of_posterior_median_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000294"
"stercoral_pocket","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000132"
"booklung_atrium_mesh","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000502"
"base_of_gland_spigot_of_posterior_median_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000293"
"femur_4","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000108"
"spigot_of_anterior_median_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000119"
"paracymbium","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000166"
"nubbin","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000142"
"spigot_shaft","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000153"
"epigynal_scape","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000597"
"anterior_booklung_leaf","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000248"
"minor_ampullate_gland_spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000259"
"precoxal_triangle","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000295"
"epigastric_furrow_posterior_apodeme","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000282"
"cymbial_chemosensory_patch","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000493"
"male_palpal_coxa","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000144"
"lateral_lobe","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000133"
"interpulmonary_fold","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000503"
"pore_of_spigot_shaft","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000514"
"seta_of_cymbium","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000525"
"shaft_of_aciniform_gland_spigot_of_posterior_lateral_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000190"
"entapophysis_3","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000066"
"thoracic_furrow","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000469"
"patella_4","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000109"
"epigynal_cuticular_glands","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000143"
"female_palpal_chemosensory_patch","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000492"
"male_palpal_tibia_dorsal_process","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000154"
"piriform_field","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000513"
"process_of_cymbium","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000524"
"shaft_of_aciniform_gland_spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000571"
"pedicel_sensilla_stripe","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000582"
"cribellum_base","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000560"
"lyriform_organ","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000479"
"sperm_duct","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000177"
"claw_1","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000089"
"trochanter_3","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000099"
"posterior_booklung_atrium","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000432"
"epigastric_median_trachea","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000443"
"pretarsus_3","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000454"
"lorum_anterior_apodeme","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000581"
"appendage_of_prosoma","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000331"
"indirect_eye","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000342"
"female_accessory_gland","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000558"
"clypeus","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000040"
"mating_plug","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000547"
"labrum","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000288"
"female_palpal_tibia","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000077"
"miAmp_silk_fiber","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000410"
"shaft_of_pseudoflagelliform_gland_spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000421"
"superior_claw_3","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000333"
"cribellate_fiber","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000320"
"opisthosomal_dorsal_sigilla","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000309"
"silk_gland","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000631"
"base_of_pseudoflagelliform_gland_spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000420"
"whole_organism_color","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000332"
"tapetum","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000343"
"tibial_gland_1","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000354"
"metatarsus_dorsal_stopper","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000390"
"heart_ostium_5","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000607"
"cardiac_artery","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000618"
"maxillary_cusple","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000308"
"cribellate_silk_band","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000319"
"pumpkiniform_spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000366"
"sucking_stomach","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000630"
"tibia","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000377"
"palpal_femoral_thorn","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000641"
"claw_tuft_clasper","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000652"
"female_palpal_tarsus_dorsal_chemosensory_seta","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000204"
"setal_barb","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000353"
"agg_gland_spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000215"
"aciniform_gland_spigot_of_posterior_lateral_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000262"
"posterior_lateral_eye","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000051"
"tibia_4","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000110"
"posterior_aorta","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000617"
"midgut","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000628"
"appendage","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000651"
"gland_of_copulatory_duct","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000598"
"sensilla_appendage_prosoma","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000387"
"calamistrum_seta","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000238"
"booklung_leaves_internal_spacer","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000249"
"proclaw_1","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000225"
"female_palpal_tarsus_apical_seta","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000203"
"aggregate_gland_spigot","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000214"
"cylindrical_gland_spigot_of_posterior_median_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000261"
"base_of_minor_ampullate_gland_spigot_of_posterior_median_spinneret","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000272"
"posterior_diverticulum","structure","1","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000283"
"preying_web","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000608"
"respiratory_system","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000619"
"patella_3","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000101"
"tracheal_cuticle","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000507"
"cuticular_sheet_of_chemosensory_seta","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000518"
"male_palpal_ventral-basal_process","structure","0","Spider Ontology Ramirez","http://purl.obolibrary.org/obo/SPD_0000529"
