#Version: 
#Glossary type: Plant
#Source: cycad_20131209093906
#Finalized by: Jing Liu
#Date: 
#Reviewers: Hong Cui,Lorena  Endara
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"cylindical","shape","0","cycad_20131209093906","fcdeb254-5c5e-11e3-9a7c-0026b9326338"
"cylindrical","shape","0","cycad_20131209093906","44457924-a51d-4933-9196-2d3b2a3241d6"
"grey","coloration","0","cycad_20131209093906","851c626c-47c7-11e3-a402-0026b9326338"
"light_c_yellow","coloration","0","cycad_20131209093906","851d1478-47c7-11e3-a402-0026b9326338"
"acumen","structure","0","cycad_20131209093906","85155e7c-47c7-11e3-a402-0026b9326338"
"bases","structure","0","cycad_20131209093906","147eff9e-47c5-11e3-a402-0026b9326338"
"branches","structure","0","cycad_20131209093906","147f3996-47c5-11e3-a402-0026b9326338"
"bump","structure","0","cycad_20131209093906","85159810-47c7-11e3-a402-0026b9326338"
"cataphyll","structure","0","cycad_20131209093906","147f79f6-47c5-11e3-a402-0026b9326338"
"cataphylls","structure","0","cycad_20131209093906","147fb6aa-47c5-11e3-a402-0026b9326338"
"cells","structure","0","cycad_20131209093906","147fe7c4-47c5-11e3-a402-0026b9326338"
"cones","structure","0","cycad_20131209093906","14801924-47c5-11e3-a402-0026b9326338"
"cotyledons","structure","0","cycad_20131209093906","148055b0-47c5-11e3-a402-0026b9326338"
"crown","structure","0","cycad_20131209093906","1480871a-47c5-11e3-a402-0026b9326338"
"edges","structure","0","cycad_20131209093906","1480bb5e-47c5-11e3-a402-0026b9326338"
"endotesta","structure","0","cycad_20131209093906","8516f7b4-47c7-11e3-a402-0026b9326338"
"ends","structure","0","cycad_20131209093906","1480ec1e-47c5-11e3-a402-0026b9326338"
"facet","structure","0","cycad_20131209093906","85172f54-47c7-11e3-a402-0026b9326338"
"facets","structure","0","cycad_20131209093906","8517683e-47c7-11e3-a402-0026b9326338"
"fawn","structure","0","cycad_20131209093906","85179d7c-47c7-11e3-a402-0026b9326338"
"flushes","structure","0","cycad_20131209093906","14815c4e-47c5-11e3-a402-0026b9326338"
"hairs","structure","0","cycad_20131209093906","14818dcc-47c5-11e3-a402-0026b9326338"
"horns","structure","0","cycad_20131209093906","1481f5be-47c5-11e3-a402-0026b9326338"
"inermis","structure","0","cycad_20131209093906","2fd06ea0-629f-11e3-af11-0026b9326338"
"juncture","structure","0","cycad_20131209093906","8517e1b0-47c7-11e3-a402-0026b9326338"
"layer","structure","0","cycad_20131209093906","fce0344e-5c5e-11e3-9a7c-0026b9326338"
"leaflets","structure","0","cycad_20131209093906","148271b0-47c5-11e3-a402-0026b9326338"
"leaf_bases","structure","0","cycad_20131209093906","851867d4-47c7-11e3-a402-0026b9326338"
"lobes","structure","0","cycad_20131209093906","170266dc-47c7-11e3-a402-0026b9326338"
"margins","structure","0","cycad_20131209093906","1482a7f2-47c5-11e3-a402-0026b9326338"
"megasporophylls","structure","0","cycad_20131209093906","1482ef82-47c5-11e3-a402-0026b9326338"
"microsporophylls","structure","0","cycad_20131209093906","14833956-47c5-11e3-a402-0026b9326338"
