#Version: 
#Glossary type: null
#Source: nematodes_12_hong_20130910170741
#Finalized by: Hong Cui
#Date: 
#Reviewers: treatise  ,Holly Bik
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"marine","habit","0","nematodes_12_hong_20130910170741","71f7009e-2dea-11e3-a402-0026b9326338"
"brackish","habit","0","nematodes_12_hong_20130910170741","71f702e2-2dea-11e3-a402-0026b9326338"
"hypersaline","habit","0","nematodes_12_hong_20130910170741","71f7080a-2dea-11e3-a402-0026b9326338"
"anterior","position","0","nematodes_12_hong_20130910170741","71f708f0-2dea-11e3-a402-0026b9326338"
"circle","arrangement","0","nematodes_12_hong_20130910170741","71f709d6-2dea-11e3-a402-0026b9326338"
"circles","arrangement","0","nematodes_12_hong_20130910170741","71f70aa8-2dea-11e3-a402-0026b9326338"
"adults","life_stage","0","nematodes_12_hong_20130910170741","71f70b8e-2dea-11e3-a402-0026b9326338"
"attractant","odor","0","nematodes_12_hong_20130910170741","71f70c56-2dea-11e3-a402-0026b9326338"
"adcloacal","position","0","nematodes_12_hong_20130910170741","71f70d1e-2dea-11e3-a402-0026b9326338"
"amphidial","position","0","nematodes_12_hong_20130910170741","71f70de6-2dea-11e3-a402-0026b9326338"
"ampideal","position","0","nematodes_12_hong_20130910170741","71f70eae-2dea-11e3-a402-0026b9326338"
"anal","position","0","nematodes_12_hong_20130910170741","71f70f76-2dea-11e3-a402-0026b9326338"
"buccal","position","0","nematodes_12_hong_20130910170741","71f71034-2dea-11e3-a402-0026b9326338"
"cardiac","position","0","nematodes_12_hong_20130910170741","71f71106-2dea-11e3-a402-0026b9326338"
"caudal","position","0","nematodes_12_hong_20130910170741","71f711ce-2dea-11e3-a402-0026b9326338"
"cephalic","position","0","nematodes_12_hong_20130910170741","71f7128c-2dea-11e3-a402-0026b9326338"
"cervical","position","0","nematodes_12_hong_20130910170741","71f71354-2dea-11e3-a402-0026b9326338"
"circumcloacal","position","0","nematodes_12_hong_20130910170741","71f7141c-2dea-11e3-a402-0026b9326338"
"cloacal","position","0","nematodes_12_hong_20130910170741","71f714e4-2dea-11e3-a402-0026b9326338"
"core","position","0","nematodes_12_hong_20130910170741","71f715ac-2dea-11e3-a402-0026b9326338"
"cuticular","position","0","nematodes_12_hong_20130910170741","71f71674-2dea-11e3-a402-0026b9326338"
"copulatory","reproduction","0","nematodes_12_hong_20130910170741","71f7173c-2dea-11e3-a402-0026b9326338"
"digestive","architecture","0","nematodes_12_hong_20130910170741","71f71804-2dea-11e3-a402-0026b9326338"
"estuary","location","0","nematodes_12_hong_20130910170741","71f718cc-2dea-11e3-a402-0026b9326338"
"dorsolateral","position","0","nematodes_12_hong_20130910170741","71f71994-2dea-11e3-a402-0026b9326338"
"epidermal","position","0","nematodes_12_hong_20130910170741","71f71a52-2dea-11e3-a402-0026b9326338"
"excretory","position","0","nematodes_12_hong_20130910170741","71f71b24-2dea-11e3-a402-0026b9326338"
"exterior","position","0","nematodes_12_hong_20130910170741","71f71be2-2dea-11e3-a402-0026b9326338"
"deposition","reproduction","0","nematodes_12_hong_20130910170741","71f71caa-2dea-11e3-a402-0026b9326338"
"dimorphism","variability","0","nematodes_12_hong_20130910170741","71f71d72-2dea-11e3-a402-0026b9326338"
"dimorphisms","variability","0","nematodes_12_hong_20130910170741","71f71e3a-2dea-11e3-a402-0026b9326338"
"exception","variability","0","nematodes_12_hong_20130910170741","71f71f02-2dea-11e3-a402-0026b9326338"
"exceptions","variability","0","nematodes_12_hong_20130910170741","71f71fca-2dea-11e3-a402-0026b9326338"
