#Version: 
#Glossary type: Plant
#Source: cycad_20131122133438
#Finalized by: Jing Liu
#Date: 
#Reviewers: Hong Cui,Lorena  Endara
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"palmlike","shape","0","cycad_20131122133438","fcdcf04a-5c5e-11e3-9a7c-0026b9326338"
"conebearing","shape","0","cycad_20131122133438","fcdd2592-5c5e-11e3-9a7c-0026b9326338"
"ovoid_cilindrical","shape","0","cycad_20131122133438","8520a1e2-47c7-11e3-a402-0026b9326338"
"gland_like","shape","0","cycad_20131122133438","8523f8e2-47c7-11e3-a402-0026b9326338"
"palm","shape","0","cycad_20131122133438","fcdd7e3e-5c5e-11e3-9a7c-0026b9326338"
"triangualr","shape","0","cycad_20131122133438","851f7128-47c7-11e3-a402-0026b9326338"
"membranous","fragility","0","cycad_20131122133438","fcddc5a6-5c5e-11e3-9a7c-0026b9326338"
"thin","fragility","0","cycad_20131122133438","fcddebee-5c5e-11e3-9a7c-0026b9326338"
"black","coloration","0","cycad_20131122133438","73b76a73-85a4-4421-9a6d-938554e05f2b"
"grey","coloration","0","cycad_20131122133438","851c626c-47c7-11e3-a402-0026b9326338"
"dark_c_brown","coloration","0","cycad_20131122133438","85227c74-47c7-11e3-a402-0026b9326338"
"glabrous","shape","0","cycad_20131122133438","fcde51c4-5c5e-11e3-9a7c-0026b9326338"
"pubescent","shape","0","cycad_20131122133438","fcde8112-5c5e-11e3-9a7c-0026b9326338"
"cylindical","shape","0","cycad_20131122133438","fcdeb254-5c5e-11e3-9a7c-0026b9326338"
"cylindrical","shape","0","cycad_20131122133438","44457924-a51d-4933-9196-2d3b2a3241d6"
"ovoid","shape","0","cycad_20131122133438","1f2fabe4-a800-43f1-89da-a3213b96ae97"
"greyish","shape","0","cycad_20131122133438","fcdef066-5c5e-11e3-9a7c-0026b9326338"
"orange","shape","0","cycad_20131122133438","fcdf1a78-5c5e-11e3-9a7c-0026b9326338"
"pungent","shape","0","cycad_20131122133438","fcdf462e-5c5e-11e3-9a7c-0026b9326338"
"soft","shape","0","cycad_20131122133438","fcdf6cc6-5c5e-11e3-9a7c-0026b9326338"
"twisted","shape","0","cycad_20131122133438","fcdf97d2-5c5e-11e3-9a7c-0026b9326338"
"undulate","shape","0","cycad_20131122133438","8525745a-a358-4c6c-a477-ed1d74cbe6db"
"bases","structure","0","cycad_20131122133438","147eff9e-47c5-11e3-a402-0026b9326338"
"cataphyll","structure","0","cycad_20131122133438","147f79f6-47c5-11e3-a402-0026b9326338"
"cataphylls","structure","0","cycad_20131122133438","147fb6aa-47c5-11e3-a402-0026b9326338"
"cones","structure","0","cycad_20131122133438","14801924-47c5-11e3-a402-0026b9326338"
"cotyledons","structure","0","cycad_20131122133438","148055b0-47c5-11e3-a402-0026b9326338"
"edges","structure","0","cycad_20131122133438","1480bb5e-47c5-11e3-a402-0026b9326338"
"endotesta","structure","0","cycad_20131122133438","8516f7b4-47c7-11e3-a402-0026b9326338"
"facet","structure","0","cycad_20131122133438","85172f54-47c7-11e3-a402-0026b9326338"
"facets","structure","0","cycad_20131122133438","8517683e-47c7-11e3-a402-0026b9326338"
"hairs","structure","0","cycad_20131122133438","14818dcc-47c5-11e3-a402-0026b9326338"
"horns","structure","0","cycad_20131122133438","1481f5be-47c5-11e3-a402-0026b9326338"
"juncture","structure","0","cycad_20131122133438","8517e1b0-47c7-11e3-a402-0026b9326338"
"layer","structure","0","cycad_20131122133438","fce0344e-5c5e-11e3-9a7c-0026b9326338"
"leaflets","structure","0","cycad_20131122133438","148271b0-47c5-11e3-a402-0026b9326338"
"leaf_bases","structure","0","cycad_20131122133438","851867d4-47c7-11e3-a402-0026b9326338"
"leave","structure","0","cycad_20131122133438","fce074e0-5c5e-11e3-9a7c-0026b9326338"
