#Version: 
#Glossary type: Plant
#Source: fern_20131203163419
#Finalized by: Jing Liu
#Date: 
#Reviewers: Hong Cui,Lorena  Endara
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"colourless","coloration","0","fern_20131203163419","91a936b8-668a-11e3-af11-0026b9326338"
"pale_c_brown","coloration","0","fern_20131203163419","91a98744-668a-11e3-af11-0026b9326338"
"brown_tinged","coloration","0","fern_20131203163419","91a9dc94-668a-11e3-af11-0026b9326338"
"fawn","coloration","0","fern_20131203163419","2fdad1ec-629f-11e3-af11-0026b9326338"
"black","coloration","0","fern_20131203163419","73b76a73-85a4-4421-9a6d-938554e05f2b"
"ferruginous","coloration","0","fern_20131203163419","91aa4832-668a-11e3-af11-0026b9326338"
"acrophyll","structure","0","fern_20131203163419","91aa8c84-668a-11e3-af11-0026b9326338"
"acrophylls","structure","0","fern_20131203163419","16f89d82-47c7-11e3-a402-0026b9326338"
"aerophore","structure","0","fern_20131203163419","91aad5cc-668a-11e3-af11-0026b9326338"
"aerophores","structure","0","fern_20131203163419","16f8dcfc-47c7-11e3-a402-0026b9326338"
"apiculus","structure","0","fern_20131203163419","91ab1c1c-668a-11e3-af11-0026b9326338"
"appendages","structure","0","fern_20131203163419","91ab647e-668a-11e3-af11-0026b9326338"
"areoles","structure","0","fern_20131203163419","16f913b6-47c7-11e3-a402-0026b9326338"
"auricles","structure","0","fern_20131203163419","91abaa1a-668a-11e3-af11-0026b9326338"
"axils","structure","0","fern_20131203163419","91abe67e-668a-11e3-af11-0026b9326338"
"band","structure","0","fern_20131203163419","91ac1e32-668a-11e3-af11-0026b9326338"
"bases","structure","0","fern_20131203163419","147eff9e-47c5-11e3-a402-0026b9326338"
"bathyphyll","structure","0","fern_20131203163419","91ac6892-668a-11e3-af11-0026b9326338"
"bathyphylls","structure","0","fern_20131203163419","16f9592a-47c7-11e3-a402-0026b9326338"
"blades","structure","0","fern_20131203163419","16f98e86-47c7-11e3-a402-0026b9326338"
"body","structure","0","fern_20131203163419","16f9bec4-47c7-11e3-a402-0026b9326338"
"border","structure","0","fern_20131203163419","91acb3ce-668a-11e3-af11-0026b9326338"
"borders","structure","0","fern_20131203163419","91acf2b2-668a-11e3-af11-0026b9326338"
"branches","structure","0","fern_20131203163419","147f3996-47c5-11e3-a402-0026b9326338"
"branchlets","structure","0","fern_20131203163419","91ad3d6c-668a-11e3-af11-0026b9326338"
"buds","structure","0","fern_20131203163419","16fa7058-47c7-11e3-a402-0026b9326338"
"bulbils","structure","0","fern_20131203163419","16faa762-47c7-11e3-a402-0026b9326338"
"bundles","structure","0","fern_20131203163419","16fade58-47c7-11e3-a402-0026b9326338"
"cauda","structure","0","fern_20131203163419","91ad87fe-668a-11e3-af11-0026b9326338"
"cavities","structure","0","fern_20131203163419","91adc9ee-668a-11e3-af11-0026b9326338"
"cavity","structure","0","fern_20131203163419","91ae07a6-668a-11e3-af11-0026b9326338"
"cells","structure","0","fern_20131203163419","147fe7c4-47c5-11e3-a402-0026b9326338"
"clump","structure","0","fern_20131203163419","91ae4540-668a-11e3-af11-0026b9326338"
"clumps","structure","0","fern_20131203163419","91ae8302-668a-11e3-af11-0026b9326338"
"compartments","structure","0","fern_20131203163419","91aecfd8-668a-11e3-af11-0026b9326338"
"conceptacle","structure","0","fern_20131203163419","91af1bb4-668a-11e3-af11-0026b9326338"
"conceptacles","structure","0","fern_20131203163419","16fc25e2-47c7-11e3-a402-0026b9326338"
"convexities","structure","0","fern_20131203163419","91af6c04-668a-11e3-af11-0026b9326338"
"convexity","structure","0","fern_20131203163419","91afb0ba-668a-11e3-af11-0026b9326338"
"costules","structure","0","fern_20131203163419","16fc5f58-47c7-11e3-a402-0026b9326338"
"crenations","structure","0","fern_20131203163419","91affd72-668a-11e3-af11-0026b9326338"
"crests","structure","0","fern_20131203163419","16fcd26c-47c7-11e3-a402-0026b9326338"
"cross_section","structure","0","fern_20131203163419","91b0518c-668a-11e3-af11-0026b9326338"
"crown","structure","0","fern_20131203163419","1480871a-47c5-11e3-a402-0026b9326338"
"cup","structure","0","fern_20131203163419","91b08db4-668a-11e3-af11-0026b9326338"
"end","structure","0","fern_20131203163419","91b0c3a6-668a-11e3-af11-0026b9326338"
"ends","structure","0","fern_20131203163419","1480ec1e-47c5-11e3-a402-0026b9326338"
"end_cells","structure","0","fern_20131203163419","91b10b54-668a-11e3-af11-0026b9326338"
"exine","structure","0","fern_20131203163419","16fe9994-47c7-11e3-a402-0026b9326338"
"exospore","structure","0","fern_20131203163419","16fed328-47c7-11e3-a402-0026b9326338"
"exospores","structure","0","fern_20131203163419","16ff0f0a-47c7-11e3-a402-0026b9326338"
"flap","structure","0","fern_20131203163419","16ff9e66-47c7-11e3-a402-0026b9326338"
"flaps","structure","0","fern_20131203163419","16ffc22e-47c7-11e3-a402-0026b9326338"
"flats","structure","0","fern_20131203163419","91b15e10-668a-11e3-af11-0026b9326338"
"fork","structure","0","fern_20131203163419","16ffe4ac-47c7-11e3-a402-0026b9326338"
"forks","structure","0","fern_20131203163419","17000860-47c7-11e3-a402-0026b9326338"
"fronds","structure","0","fern_20131203163419","17002e44-47c7-11e3-a402-0026b9326338"
"gametophytes","structure","0","fern_20131203163419","17005f7c-47c7-11e3-a402-0026b9326338"
"glands","structure","0","fern_20131203163419","1700856a-47c7-11e3-a402-0026b9326338"
"grooves","structure","0","fern_20131203163419","1700ac98-47c7-11e3-a402-0026b9326338"
"hairs","structure","0","fern_20131203163419","14818dcc-47c5-11e3-a402-0026b9326338"
"heads","structure","0","fern_20131203163419","1700d2b8-47c7-11e3-a402-0026b9326338"
"herb","structure","0","fern_20131203163419","1700f540-47c7-11e3-a402-0026b9326338"
"hooks","structure","0","fern_20131203163419","91b1c3e6-668a-11e3-af11-0026b9326338"
"hydathodes","structure","0","fern_20131203163419","1701231c-47c7-11e3-a402-0026b9326338"
"incision","structure","0","fern_20131203163419","91b20d4c-668a-11e3-af11-0026b9326338"
"incisions","structure","0","fern_20131203163419","91b2520c-668a-11e3-af11-0026b9326338"
"internodes","structure","0","fern_20131203163419","17015008-47c7-11e3-a402-0026b9326338"
"involucres","structure","0","fern_20131203163419","17017f24-47c7-11e3-a402-0026b9326338"
"laminas","structure","0","fern_20131203163419","1701f9cc-47c7-11e3-a402-0026b9326338"
"laterals","structure","0","fern_20131203163419","91b2a55e-668a-11e3-af11-0026b9326338"
"leaflets","structure","0","fern_20131203163419","148271b0-47c5-11e3-a402-0026b9326338"
"line","structure","0","fern_20131203163419","91b2e186-668a-11e3-af11-0026b9326338"
"lines","structure","0","fern_20131203163419","1702205a-47c7-11e3-a402-0026b9326338"
"lips","structure","0","fern_20131203163419","170242f6-47c7-11e3-a402-0026b9326338"
"lobes","structure","0","fern_20131203163419","170266dc-47c7-11e3-a402-0026b9326338"
"lobule","structure","0","fern_20131203163419","91b32df8-668a-11e3-af11-0026b9326338"
"lobules","structure","0","fern_20131203163419","17028e5a-47c7-11e3-a402-0026b9326338"
"margins","structure","0","fern_20131203163419","1482a7f2-47c5-11e3-a402-0026b9326338"
